% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.750037435e+02 +2.750037435e+02 +3.544837435e+02 +3.544837435e+02 +2.7038e+00 -5.6791e-01 -2.4269e+00 -4.3822e+00 +3.9145e+00 +9.2763e-01 +7.2961e-01 -1.0265e+00 -2.6040e+00 -2.6575e+00 -5.8196e-01 +7.4097e-01 +3.7541e+00 -3.9103e-01 -4.2432e+00 +7.8102e-02 -1.4243e+00 +4.6501e+00 +3.2219e+00 -2.2851e+00
2 +1.486563626e+02 +1.486563626e+02 +2.281363626e+02 +2.281363626e+02 +2.0990e+00 -3.4318e-01 -8.1855e-01 -1.9816e-01 -2.8629e+00 -9.8955e-01 -2.7849e+00 +3.7214e+00 +1.8708e+00 +2.2755e+00 +4.4687e+00 +1.3481e+00 +1.7803e+00 -5.4393e-01 +2.4429e+00 +2.4871e+00 -8.3923e-01 -2.3623e+00 +3.1790e+00 +2.6084e+00
99 +9.288171750e+01 +9.288171750e+01 +1.723617175e+02 +1.723617175e+02 +1.2479e+00 -4.2316e-01 +2.7401e+00 -7.0292e-01 -3.5973e+00 -2.1798e+00 +0.0000e+00 +6.8000e-01 -1.0814e+00 -2.2792e+00 -1.6304e+00 +4.3097e+00 +3.2701e+00 -4.6724e+00 +4.5237e+00 -6.6575e-01 -1.4777e+00 -3.5571e+00 +0.0000e+00 +3.8903e+00
175 +4.388932267e+01 +4.388932267e+01 +1.233693227e+02 +1.233693227e+02 -1.2310e-02 +1.6300e-01 -2.3323e+00 +1.4376e+00 -3.1288e+00 +5.2906e-01 -2.0847e+00 -1.3756e+00 -1.7542e-02 -2.6768e+00 -3.9322e+00 +3.3034e+00 +0.0000e+00 -4.0784e+00 +2.4879e+00 +2.8881e+00 -2.0580e+00 -1.5801e+00 +2.8731e+00 +6.2773e-01
364 +3.975614362e+01 +3.975614362e+01 +1.192361436e+02 +1.192361436e+02 -6.3732e-01 +0.0000e+00 +8.5352e-01 +1.2838e+00 +3.2951e-01 +2.6297e+00 +1.9943e+00 +1.2520e+00 -1.6660e+00 -3.2607e+00 -4.7845e+00 +2.7168e+00 -4.3732e-01 -9.5938e-01 +2.6130e+00 +8.4162e-01 +7.4062e-02 -4.1895e+00 +4.2867e+00 +1.3959e-01
963 +2.266625285e+01 +2.266625285e+01 +1.021462528e+02 +1.021462528e+02 -8.1245e-01 -2.7100e+00 +4.4514e-02 +2.4206e+00 -2.0811e+00 +8.9846e-01 +0.0000e+00 +6.6128e-01 -1.5543e+00 -2.0006e+00 -4.9631e+00 +1.5648e+00 -9.7750e-01 +0.0000e+00 +4.1721e+00 +3.1969e-01 +1.2319e+00 -4.1240e+00 +1.6862e+00 +2.4895e+00
1386 +1.393882640e+01 +1.393882640e+01 +9.341882640e+01 +9.341882640e+01 +4.9086e-01 +1.2183e+00 -3.7810e-01 +2.0178e+00 -2.9520e+00 +1.1411e+00 -4.9843e-01 +3.4873e-01 -1.8947e+00 -2.9714e+00 -4.9786e+00 +1.0798e+00 +5.8200e-01 -5.1557e-02 +3.5915e+00 +3.3331e+00 -3.5051e-01 -4.5937e+00 +1.6549e+00 -5.6546e-01
1930 +8.874379458e+00 +8.874379458e+00 +8.835437946e+01 +8.835437946e+01 +1.0196e+00 -1.2570e+00 -3.7550e-01 +2.3599e+00 -2.0523e+00 +7.5831e-01 -2.5236e-01 +7.5740e-01 -2.7529e+00 -3.5969e+00 -4.9724e+00 +1.0781e+00 +6.4830e-01 +9.1899e-01 +3.3485e+00 +3.1916e+00 +2.7099e-01 -3.6678e+00 +1.5175e+00 +3.2779e-01
2034 +5.584629435e+00 +5.584629435e+00 +8.506462943e+01 +8.506462943e+01 +9.2148e-01 -9.0416e-01 -1.0641e+00 +2.9274e+00 -2.7368e+00 -9.0506e-02 -8.5629e-01 -3.3000e-01 -1.9284e+00 -3.1131e+00 -4.9699e+00 +1.5500e+00 +4.8803e-01 -6.5689e-03 +3.3849e+00 +3.1930e+00 -1.5227e-02 -3.8398e+00 +1.9250e+00 +5.5461e-01
2504 +3.848480467e+00 +3.848480467e+00 +8.332848047e+01 +8.332848047e+01 +4.9754e-01 -1.6244e+00 -3.9709e-02 +2.6659e+00 -2.9149e+00 +1.3617e-01 -5.6366e-01 -9.3765e-01 -1.6141e+00 -3.3331e+00 -4.3750e+00 +2.0809e+00 +6.6114e-01 -5.3917e-01 +3.2657e+00 +3.1310e+00 +5.9340e-02 -4.0547e+00 +2.6007e+00 +1.1435e+00
