% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.655655035e+03 +3.655655035e+03 +3.748595035e+03 +3.748595035e+03 -2.2835e+00 +6.2283e-01 +4.4817e+00 -3.9066e-01 +2.7014e+00 +3.8135e+00 +4.1906e+00 +1.9823e-01 -4.8122e+00 +3.9839e+00 -6.6470e-01 +4.2688e+00 -4.8334e+00 -1.9208e+00 +3.6218e+00 -5.7527e-01 -2.4774e+00 -1.6581e+00 +3.6583e+00 -9.2711e-01
2 +1.881577067e+03 +1.881577067e+03 +1.974517067e+03 +1.974517067e+03 +6.5421e-01 -8.1206e-01 -4.2957e+00 -6.4858e-01 -3.2874e+00 +1.9546e+00 +5.5925e-01 +2.9824e+00 +2.6983e+00 -2.1749e-01 -9.1640e-01 +1.4328e+00 +4.1675e+00 +4.1747e+00 -2.7313e+00 -6.7192e-01 +3.9283e+00 -3.4596e+00 -2.8273e+00 +3.0937e-01
14 +1.478388727e+03 +1.478388727e+03 +1.571328727e+03 +1.571328727e+03 -5.5889e-01 +9.6940e-02 -1.6267e+00 -1.7885e+00 +3.7054e-01 -2.8915e+00 -1.8211e+00 -3.9594e+00 -9.7801e-01 +4.4492e+00 -3.6151e+00 -3.6216e+00 -1.2085e-01 -3.7736e+00 +3.4530e+00 +2.8595e-01 +3.7549e+00 -2.8945e+00 -2.3881e+00 +1.6537e-02
97 +7.812941690e+02 +7.812941690e+02 +8.742341690e+02 +8.742341690e+02 -1.6531e+00 +3.9353e+00 -1.2525e+00 +3.3174e+00 -1.2395e+00 +2.5930e+00 -3.3720e+00 -3.5180e+00 +2.7575e+00 +3.6016e+00 +9.6328e-01 -4.9352e+00 +1.0404e+00 -1.0239e+00 +4.3652e+00 -4.0200e+00 -1.6192e+00 +1.0372e+00 -5.1039e-02 -2.2292e+00
479 +6.293803001e+02 +6.293803001e+02 +7.223203001e+02 +7.223203001e+02 +4.4108e+00 -1.8086e-01 -1.6606e+00 +2.4202e-01 +2.7271e+00 +3.9760e+00 +8.0367e-01 -3.4644e+00 -5.8499e-01 +8.3074e-01 +3.4990e+00 -3.6656e+00 -3.6337e+00 +1.3147e+00 +1.1705e+00 -3.3372e+00 +1.3316e+00 +1.8317e+00 -1.6599e-01 +1.4098e+00
909 +3.277083922e+02 +3.277083922e+02 +4.206483922e+02 +4.206483922e+02 +9.0303e-02 -1.8086e-01 -1.1606e+00 +2.4202e-01 +2.7271e+00 +3.9760e+00 +8.0367e-01 -3.4644e+00 -5.8499e-01 +8.3074e-01 +3.4990e+00 -3.6656e+00 -3.8837e+00 +1.3147e+00 +3.1783e+00 +1.8372e+00 +4.2336e+00 -2.4735e+00 -3.1730e+00 -3.8513e+00
1807 +2.090557315e+02 +2.090557315e+02 +3.019957315e+02 +3.019957315e+02 +2.9551e-01 -1.2253e+00 -1.4130e+00 +3.8034e+00 +2.7271e+00 +3.9760e+00 +1.2580e-01 -4.2209e+00 +2.0688e+00 +3.6591e+00 +3.7680e+00 -3.5695e+00 -2.8743e+00 -4.7707e-01 +2.3361e+00 +1.2663e+00 +2.2592e+00 -2.4693e+00 +3.4403e+00 -3.8513e+00
1867 +1.577214978e+02 +1.577214978e+02 +2.506614978e+02 +2.506614978e+02 +9.0383e-01 +2.2407e+00 -6.8965e-01 +4.5290e+00 -5.9935e-01 +3.9916e+00 +2.9459e+00 +2.3671e+00 +7.5048e-01 +6.0594e-01 +3.7368e+00 -3.6656e+00 -1.5348e-01 -6.0342e-01 +7.5810e-01 +1.2221e+00 +4.9094e+00 -3.0101e+00 +1.9903e+00 -2.7826e-01
2996 +9.534486256e+01 +9.534486256e+01 +1.882848626e+02 +1.882848626e+02 +9.0383e-01 -1.7253e+00 -1.4130e+00 +3.3112e+00 +2.7271e+00 +3.9760e+00 +1.2580e-01 -4.2209e+00 +2.0688e+00 +3.6591e+00 +3.7680e+00 -3.5695e+00 -2.8743e+00 +4.7707e-01 +2.3361e+00 +1.2663e+00 +4.9094e+00 -3.0101e+00 +7.0175e-01 -2.7820e-01
4235 +6.149151425e+01 +6.149151425e+01 +1.544315143e+02 +1.544315143e+02 +1.4664e-01 -1.2253e+00 -1.4287e+00 +3.8034e+00 +2.7271e+00 +3.7260e+00 +1.6884e-01 -3.5219e+00 +2.7575e+00 +3.6016e+00 +3.7680e+00 -3.5695e+00 -2.8743e+00 +4.7707e-01 +2.3361e+00 +1.2663e+00 +4.9094e+00 -3.0101e+00 +2.4403e+00 +1.3972e-01
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.833374158e+03 +4.833374158e+03 +4.868724158e+03 +4.868724158e+03 +3.1338e+00 +4.5814e+00 +3.0055e+00 +1.3421e+00 +1.3286e+00 +3.3040e+00 +6.1299e-01 +2.2535e-01 -4.1197e+00 +2.1356e+00 -6.2765e-01 +1.1833e+00 -1.3806e+00 +1.7604e+00 +4.0971e+00 +3.2295e+00 -1.2693e+00 -2.1619e+00 -1.2413e+00 -1.2677e+00
3 +2.137780080e+03 +2.137780080e+03 +2.173130080e+03 +2.173130080e+03 +4.7172e-01 +2.0367e+00 +2.3126e+00 -2.8849e+00 -3.8207e+00 -6.5917e-01 -6.9168e-02 -2.5763e+00 -2.4472e+00 -9.7068e-01 -1.9524e+00 -3.2968e+00 +1.4730e+00 -1.0918e+00 -7.9617e-01 +4.7151e+00 +2.3352e+00 +3.2144e+00 +1.7200e-01 +1.1578e+00
28 +1.361750350e+03 +1.361750350e+03 +1.397100350e+03 +1.397100350e+03 +4.8331e+00 +3.3460e+00 +3.2887e+00 +9.6318e-01 -1.3486e+00 +1.4469e+00 +1.5576e+00 -4.3669e+00 -1.5037e+00 +1.2943e+00 +3.3991e+00 -1.2572e+00 +3.5938e+00 +4.2975e+00 -4.3203e+00 +3.6573e+00 -2.2813e+00 -4.4513e+00 +4.3879e+00 +2.9811e+00
73 +8.990719823e+02 +8.990719823e+02 +9.344219823e+02 +9.344219823e+02 +4.0073e+00 -1.4500e+00 +2.6919e+00 -4.8230e+00 +2.2100e+00 +2.8174e+00 +2.2271e+00 +2.7211e+00 -2.8292e+00 +8.8058e-01 -3.9877e+00 -4.5331e+00 +4.6982e+00 -6.8065e-02 -1.7239e+00 -1.1340e+00 +4.0958e+00 +3.2292e+00 +4.3806e+00 +2.4069e+00
557 +4.830841531e+02 +4.830841531e+02 +5.184341531e+02 +5.184341531e+02 -6.8150e-01 -2.9243e+00 +4.6677e+00 +3.7871e+00 -1.5970e+00 -1.9860e+00 +4.4213e-01 -1.1431e+00 -1.7851e+00 +2.9130e+00 +1.7661e+00 +1.8302e+00 +4.5837e+00 +3.4280e+00 -2.7340e-01 +1.1790e+00 +4.7478e+00 +3.8702e+00 +4.6591e+00 -4.6534e+00
925 +3.686365492e+02 +3.686365492e+02 +4.039865492e+02 +4.039865492e+02 -7.3809e-01 -1.4748e+00 +3.1060e+00 +3.0415e+00 +7.4473e-01 -3.0936e+00 -3.3787e+00 +3.1040e+00 -9.6321e-01 -2.2872e+00 +3.7495e-01 -1.6620e+00 +1.1975e+00 +3.3031e+00 +3.1680e+00 +2.8657e+00 +2.7322e+00 -1.6891e-01 +4.8749e+00 -8.6881e-02
1357 +2.113497234e+02 +2.113497234e+02 +2.466997234e+02 +2.466997234e+02 -2.9998e-01 +4.6660e+00 +3.9293e+00 -3.6155e+00 +2.0860e+00 +3.2786e-01 +3.6476e+00 +4.1802e+00 -3.0759e+00 -3.7980e+00 +1.4402e+00 -3.5818e+00 +5.3126e+00 +2.0059e+00 -3.8333e+00 +3.7246e+00 +2.4756e+00 +1.9847e+00 +3.0038e+00 +3.8714e+00
1905 +1.534295760e+02 +1.534295760e+02 +1.887795760e+02 +1.887795760e+02 +2.0136e-01 +4.3646e+00 +3.3493e+00 +2.7286e-01 +5.5039e-01 -3.2480e-01 +2.5483e+00 -5.7763e-01 -6.3881e-01 -2.4461e+00 -1.8776e+00 -2.5702e+00 +4.3126e+00 +2.0068e+00 -3.8333e+00 +3.7246e+00 +3.2525e+00 +2.0492e+00 +4.2508e+00 +3.3369e+00
2337 +7.515897547e+01 +7.515897547e+01 +1.105089755e+02 +1.105089755e+02 +2.0136e-01 +4.3646e+00 +3.3493e+00 +2.7286e-01 +5.5040e-01 -3.2480e-01 +1.7271e+00 +1.3864e+00 -1.8425e+00 -2.4470e+00 -1.8776e+00 -2.5702e+00 +4.3126e+00 +3.0068e+00 -3.8333e+00 +3.7246e+00 +2.4756e+00 +1.9847e+00 +3.0351e+00 +3.8089e+00
2772 +5.968932369e+01 +5.968932369e+01 +9.503932369e+01 +9.503932369e+01 -2.0136e-01 +4.3031e+00 +3.3493e+00 +2.7286e-01 +5.5040e-01 -3.2480e-01 +1.7271e+00 +1.3864e+00 -1.8425e+00 -2.4470e+00 -1.8776e+00 -2.5702e+00 +4.3126e+00 +3.0068e+00 -1.8333e+00 +3.7246e+00 +2.4756e+00 +1.9847e+00 +4.1931e+00 +2.4069e+00
3829 +3.360616351e+01 +3.360616351e+01 +6.895616351e+01 +6.895616351e+01 -2.0136e-01 +2.3641e+00 +3.3493e+00 +2.7286e-01 +5.5039e-01 -3.2480e-01 +1.7271e+00 +1.3864e+00 -1.8425e+00 -2.4470e+00 -1.8776e+00 -2.5702e+00 +4.3126e+00 +3.7386e+00 -1.8333e+00 +3.7246e+00 +2.4756e+00 +1.9847e+00 +4.1931e+00 +2.4069e+00
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.336402602e+03 +2.336402602e+03 +2.340222602e+03 +2.340222602e+03 +2.7605e+00 +4.2683e+00 +1.9260e+00 -7.2566e-01 -4.6301e+00 -4.0926e+00 -1.8607e+00 +1.6113e+00 -9.3348e-02 +3.9861e+00 -2.4591e+00 +3.5383e+00 +4.4339e+00 -4.8086e+00 -2.1591e+00 -3.2311e-01 +1.3738e+00 -3.0823e+00 +4.8005e+00 -4.1175e-02
