% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.412024005e+03 +2.412024005e+03 +2.441994005e+03 +2.441994005e+03 -3.7743e+00 -6.2483e-01 -3.4430e-01 +2.6836e+00 +2.3431e+00 +8.9300e-01 -3.1872e+00 +1.8269e+00 +3.7017e+00 -9.0818e-02 -1.2656e+00 -2.9831e+00 +2.1010e+00 +1.4062e+00 +2.0469e-01 -1.4361e+00 -2.2614e+00 +2.8309e+00 -3.0559e+00 -2.6325e+00
68 +1.435959262e+03 +1.435959262e+03 +1.465929262e+03 +1.465929262e+03 -2.1410e+00 -1.9349e+00 -1.0109e+00 +9.0259e-01 +2.2899e+00 +7.9676e-01 -2.1153e+00 -8.7562e-01 -1.7737e+00 +2.0608e+00 -2.5437e+00 -6.6676e-01 +5.5037e+00 +3.1396e+00 -1.0042e+00 +2.7979e+00 -4.0292e+00 -3.5307e+00 -1.5595e+00 -2.2265e+00
185 +9.334386465e+02 +9.334386465e+02 +9.634086465e+02 +9.634086465e+02 -3.6617e-01 -7.1438e-01 -4.0751e+00 +7.7428e-01 +2.7639e+00 +3.0674e+00 -5.0052e+00 -3.1181e+00 +1.6212e+00 -1.9946e+00 +1.0476e+00 -1.9398e+00 +3.8618e+00 +4.9393e+00 -5.3646e-01 +5.8018e-01 -2.0058e+00 -6.0242e-01 -1.0939e-01 -2.4446e+00
287 +5.655813949e+02 +5.655813949e+02 +5.955513949e+02 +5.955513949e+02 -7.1531e-01 -4.4177e-02 -4.8704e+00 -5.0709e-01 +3.5149e+00 +2.7723e+00 -3.6965e+00 -3.0906e+00 +1.8442e+00 -7.1271e-01 +1.5289e+00 -3.1286e+00 +4.6619e+00 +2.8762e+00 -1.4050e+00 +1.3791e+00 -8.1132e-01 -1.7799e+00 +1.0685e+00 -2.6109e+00
405 +3.753133294e+02 +3.753133294e+02 +4.052833294e+02 +4.052833294e+02 +2.4053e-01 -3.3804e-01 -4.7873e+00 -1.6732e+00 +3.7280e+00 +4.1696e+00 -3.8341e+00 -3.0939e+00 +1.2661e+00 -2.2481e+00 +1.9232e+00 -1.9524e+00 +4.2797e+00 +2.2064e+00 -1.7955e+00 +1.7461e+00 -1.6071e+00 -1.1758e+00 +2.1820e+00 -3.4819e+00
547 +2.469912993e+02 +2.469912993e+02 +2.769612993e+02 +2.769612993e+02 +6.7631e-01 -1.7704e+00 -3.7685e+00 -1.9864e+00 +3.3105e+00 +3.5156e+00 -3.5294e+00 -2.2850e+00 +1.4251e+00 -1.7671e+00 +2.5824e+00 -2.3856e+00 +4.0924e+00 +2.4975e+00 -1.7190e+00 +2.5029e+00 -1.5889e+00 -1.6817e+00 +1.3919e+00 -2.3280e+00
748 +1.327732180e+02 +1.327732180e+02 +1.627432180e+02 +1.627432180e+02 +6.1963e-01 -1.7050e+00 -3.8768e+00 -1.8828e+00 +3.1753e+00 +4.1348e+00 -3.7834e+00 -2.2204e+00 +1.4978e+00 -2.0490e+00 +2.1499e+00 -2.3835e+00 +4.3255e+00 +2.4411e+00 -1.6983e+00 +2.8239e+00 -2.0208e+00 -1.8046e+00 +1.5903e+00 -3.2097e+00
850 +9.933459051e+01 +9.933459051e+01 +1.293045905e+02 +1.293045905e+02 +7.2322e-01 -1.6033e+00 -3.7985e+00 -1.8333e+00 +3.2056e+00 +3.8297e+00 -3.4871e+00 -2.2277e+00 +1.4905e+00 -1.7195e+00 +1.8573e+00 -2.0297e+00 +4.1202e+00 +2.4309e+00 -1.4506e+00 +2.6341e+00 -2.2510e+00 -1.9002e+00 +1.4927e+00 -3.1416e+00
1022 +6.053750514e+01 +6.053750514e+01 +9.050750514e+01 +9.050750514e+01 +5.1592e-01 -1.6785e+00 -3.9042e+00 -1.7589e+00 +3.1761e+00 +3.9047e+00 -3.6334e+00 -2.0900e+00 +1.3952e+00 -1.6083e+00 +1.8248e+00 -2.2456e+00 +4.2212e+00 +2.6469e+00 -1.6729e+00 +2.6933e+00 -2.0910e+00 -1.9245e+00 +1.5228e+00 -3.0252e+00
1149 +3.626611256e+01 +3.626611256e+01 +6.623611256e+01 +6.623611256e+01 +4.9337e-01 -1.7060e+00 -3.9054e+00 -1.8236e+00 +3.2594e+00 +3.8400e+00 -3.5896e+00 -2.2281e+00 +1.3944e+00 -1.6469e+00 +1.7861e+00 -2.1944e+00 +4.2430e+00 +2.5934e+00 -1.6997e+00 +2.5740e+00 -2.0719e+00 -1.8168e+00 +1.3717e+00 -2.9946e+00
