% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.545071829e+03 +3.545071829e+03 +3.082981829e+03 +3.082981829e+03 +1.0397e+00 +4.8881e+00 +2.9292e+00 +3.7464e+00 -4.5606e+00 -9.2427e-01 -3.2896e+00 +1.9906e+00 -2.0015e+00 -4.8963e+00 +3.6562e+00 -1.6459e+00 +1.1556e+00 +3.2760e+00 -3.6196e+00 -2.8694e+00 -4.6838e+00 +4.3699e-01 +3.1854e+00 +1.1520e+00
2 +1.931545861e+03 +1.931545861e+03 +1.469455861e+03 +1.469455861e+03 +4.9051e+00 +8.9599e-01 -4.2418e+00 -1.9626e+00 -3.4864e+00 -3.5176e+00 -2.1602e+00 -2.3900e+00 -3.6859e+00 +3.7416e+00 -1.0785e+00 +2.7033e+00 -1.6591e+00 +2.4302e-01 -3.0088e+00 -4.6330e+00 -2.6369e+00 -2.1987e+00 +1.1756e+00 +3.3872e-01
4 +1.102005947e+03 +1.102005947e+03 +6.399159468e+02 +6.399159468e+02 +2.7638e+00 -3.3891e+00 -1.8034e+00 +1.3268e+00 +1.9148e+00 -2.5914e+00 +4.5090e+00 -3.5653e+00 +4.5489e+00 -4.1815e+00 -2.5830e+00 -1.6959e-01 -6.8060e-01 +1.5561e+00 -2.8833e+00 -3.8332e+00 -2.6290e+00 +1.3975e+00 -3.4589e+00 -3.0973e+00
46 +8.747018104e+02 +8.747018104e+02 +4.126118104e+02 +4.126118104e+02 -2.0437e+00 -2.8218e+00 +7.6996e-01 +3.7742e+00 +7.7146e+00 +9.7922e-01 +1.6501e+00 +1.7885e+00 +3.1951e+00 -5.2958e+00 +1.3510e+00 -3.7869e+00 -3.5011e+00 +6.2936e-01 -2.6337e+00 -6.0858e+00 +1.3764e+00 +1.0287e+00 -4.3280e+00 -1.5229e+00
184 +5.239271476e+02 +5.239271476e+02 +6.183714758e+01 +6.183714758e+01 -3.9660e+00 -3.7890e+00 +1.5274e+00 +1.2728e+00 +5.5794e+00 +1.1999e+00 +1.3915e+00 -8.9382e-01 +3.6493e+00 -3.9978e+00 -2.3318e+00 -3.5758e+00 -7.1717e-01 -7.3882e-01 -4.2731e-01 -6.9856e+00 +4.6905e-01 +3.5057e+00 -5.0537e+00 +2.7254e+00
429 +3.890566146e+02 +3.890566146e+02 -7.303338544e+01 -7.303338544e+01 -2.6628e+00 -4.0541e+00 +2.8273e-01 -1.0699e+00 +5.4491e+00 +8.0833e-02 +2.7616e+00 +7.4703e-01 +5.5710e+00 -2.5412e-02 -2.3868e+00 -3.8239e+00 +1.3255e+00 -2.8505e+00 -1.1505e+00 -3.3932e+00 -2.7123e+00 +1.7267e+00 -2.4108e+00 +2.2295e+00
1309 +2.483088096e+02 +2.483088096e+02 -2.137811904e+02 -2.137811904e+02 -2.8365e+00 -3.6970e+00 +1.3107e+00 +9.6306e-01 +3.9812e+00 +4.5465e-01 +1.2611e+00 +7.5146e-01 +3.7359e+00 -1.0335e+00 -3.5740e+00 -3.8594e+00 -4.7743e-03 -1.7867e+00 +3.8323e-01 -3.9002e+00 -6.6566e-01 +1.9850e+00 -3.2201e+00 +1.7653e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.858647619e+03 +1.858647619e+03 +1.936307619e+03 +1.936307619e+03 -1.0127e-01 +4.8151e+00 +8.9634e-01 -1.9587e+00 +5.1635e-01 -2.2148e+00 +1.4119e+00 +3.7078e+00 -7.2674e-01 -2.1348e+00 -1.0088e+00 -5.5949e-01 +3.3331e+00 -2.8364e+00 -3.3670e+00 +2.5477e+00 +2.6265e+00 +1.4241e+00 +1.3954e+00 +1.2051e+00
2 +1.318685602e+03 +1.318685602e+03 +1.396345602e+03 +1.396345602e+03 +2.4267e+00 -8.7335e-01 -4.9239e+00 -2.1211e+00 +3.5895e+00 -3.9278e+00 +4.0631e+00 +3.8009e-01 +3.0040e+00 -1.1325e-01 -2.7882e+00 +3.1141e+00 -3.7308e+00 +2.4150e+00 -2.2720e+00 +1.9915e+00 -1.7057e+00 +1.0297e+00 -7.6468e-01 -4.7979e+00
6 +8.435890777e+02 +8.435890777e+02 +9.212490777e+02 +9.212490777e+02 -4.1661e+00 +3.1733e+00 -2.0687e+00 -2.8443e+00 -2.2320e+00 +3.8943e+00 +2.7268e+00 -3.0067e+00 +4.6563e+00 -1.3497e+00 +1.5889e+00 +2.9664e+00 -1.0902e+00 -1.5424e+00 +1.0385e-01 +2.9962e+00 +1.0139e+00 -7.3141e-01 +4.9892e+00 -1.3176e+00
173 +6.267965385e+02 +6.267965385e+02 +7.044565385e+02 +7.044565385e+02 -2.3254e+00 +8.7870e-02 +1.0554e+00 -1.0121e-01 -4.9298e+00 -5.9060e+00 -7.4896e-01 +1.0628e+00 -2.4681e+00 -7.4153e+00 +2.1658e+00 +1.5580e+00 -2.9039e+00 +4.8727e-01 -4.6774e+00 +4.4406e+00 +3.9849e-01 -1.0424e+00 -1.3825e-01 -3.0829e+00
305 +3.883652100e+02 +3.883652100e+02 +4.660252100e+02 +4.660252100e+02 -7.3454e-01 +1.5748e+00 -3.5172e-01 -8.4566e-01 -9.4362e-01 -1.1227e+00 -1.6197e+00 +1.9311e+00 -7.0524e-01 -5.4564e+00 +2.2675e+00 +9.5156e-01 +1.0500e-01 -9.2108e-02 -4.1218e+00 +3.6113e-01 +1.1077e+00 -2.2223e+00 +2.5234e-01 -4.9902e+00
1226 +2.477309257e+02 +2.477309257e+02 +3.253909257e+02 +3.253909257e+02 +3.3448e-01 -1.5993e+00 +7.6783e-01 -1.9345e+00 -1.0433e+00 -3.7548e-01 -1.0692e+00 +9.9152e-01 +5.4916e-01 -4.4643e+00 +6.4644e-01 +3.1942e-01 +3.3914e-01 -4.9396e-01 -1.8743e+00 +1.7972e+00 +7.2537e-01 -2.7263e+00 +2.1555e+00 -3.7542e+00
2499 +1.578613122e+02 +1.578613122e+02 +2.355213122e+02 +2.355213122e+02 +1.5004e+00 -1.7729e+00 -2.9397e-01 -1.7082e+00 -2.3125e-01 -3.4541e-01 -1.6088e+00 +1.2513e+00 +6.9652e-01 -4.3427e+00 +1.3721e+00 +1.4823e-01 +8.0604e-01 -4.9327e-01 -2.3687e+00 +1.8234e+00 +5.8027e-01 -3.1802e+00 +2.4452e+00 -3.1657e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
