% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.673201865e+04 +1.673201865e+04 +1.626992865e+04 +1.626992865e+04 +3.0233e+00 +4.0114e+00 -1.6822e+00 +4.4443e+00 -4.7457e+00 +4.5064e-02 +4.9719e+00 -3.3845e+00 +1.9489e+00 +5.0216e-01 +3.3291e+00 +8.6902e-01 -1.3414e+00 -4.8045e+00 +2.0707e+00 -3.0064e+00 +4.7567e+00 -4.4487e+00 +4.3548e-01 -4.6035e+00
2 +1.667179959e+03 +1.667179959e+03 +1.205089959e+03 +1.205089959e+03 +6.5662e-02 +4.5168e+00 -1.3305e+00 -9.4723e-01 -3.6623e+00 -2.7770e+00 +1.2166e+00 -3.2269e+00 -2.9677e+00 -2.0711e+00 +3.1774e+00 -6.8760e-01 -3.1529e+00 -4.1661e+00 +4.1638e-01 +4.4207e-03 +1.3883e+00 +9.0758e-01 +6.6590e-02 +3.1459e+00
10 +9.328043790e+02 +9.328043790e+02 +4.707143790e+02 +4.707143790e+02 +2.9688e+00 -2.3170e+00 -2.3074e+00 +1.0612e+00 -4.2184e+00 +1.6069e+00 -1.3184e+00 +2.4914e+00 +1.8707e+00 -3.0196e+00 +1.9317e+00 -4.7575e+00 -3.0514e+00 -2.2086e+00 -3.0754e-01 -3.3760e+00 -4.4367e-01 -1.1087e+00 +8.3062e-01 -3.6717e+00
135 +5.363278605e+02 +5.363278605e+02 +7.423786054e+01 +7.423786054e+01 +0.0000e+00 -2.7325e+00 -5.0000e+00 -1.8228e+00 -1.0534e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 -3.8712e-01 +0.0000e+00 +2.8093e+00 -3.1865e+00 -1.6697e+00 -5.0000e+00 +1.1758e+00 -3.9285e+00 +0.0000e+00 +1.8774e+00 -1.4987e+00 +1.1234e+00
484 +3.857502182e+02 +3.857502182e+02 -7.633978178e+01 -7.633978178e+01 -8.4948e-01 +0.0000e+00 -1.8350e+00 +7.2330e-01 +7.7351e-01 -3.8909e-01 +2.4880e-01 -6.8791e-01 -1.0599e+00 -4.9579e-01 +2.7573e+00 -2.4390e+00 -8.1328e-01 -4.8368e+00 +0.0000e+00 -2.5545e+00 +4.1875e-01 +4.2941e+00 +1.8266e+00 +3.6132e+00
2042 +2.486846995e+02 +2.486846995e+02 -2.134053005e+02 -2.134053005e+02 -1.6781e+00 +3.2143e+00 +1.2750e+00 -4.9040e-01 +7.3619e-01 +8.1520e-01 +1.5742e+00 -9.4832e-01 -7.5843e-01 -4.4905e-01 +2.2425e+00 -2.0344e+00 -5.8020e-01 -4.7383e+00 +1.0098e+00 -3.2552e+00 -3.9844e-01 +3.5684e+00 +2.5581e+00 +8.8944e-01
2817 +1.523410923e+02 +1.523410923e+02 -3.097489077e+02 -3.097489077e+02 +0.0000e+00 +3.2656e+00 -2.3270e-01 -1.0778e-01 +1.7441e+00 +1.3144e+00 +6.3179e-01 +3.9109e+00 +7.2174e-01 -5.4471e-01 +2.8090e+00 -3.2744e+00 -4.6500e-01 -4.5804e+00 +1.0937e+00 -3.9252e+00 -3.1628e-05 +3.7151e+00 +2.0557e+00 +1.7853e+00
3838 +9.695648057e+01 +9.695648057e+01 -3.651335194e+02 -3.651335194e+02 +0.0000e+00 +3.3201e+00 +4.8044e-01 -9.8529e-02 +2.2072e+00 +1.4160e+00 +5.8905e-01 +4.0566e+00 +1.1798e+00 -5.4389e-01 +2.6586e+00 -3.7900e+00 -3.5141e-01 -4.5831e+00 +1.3692e+00 -3.8870e+00 -3.5806e-02 +3.7222e+00 +2.0485e+00 +1.8268e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.286300313e+03 +6.286300313e+03 +6.363960313e+03 +6.363960313e+03 +1.8251e+00 -1.5712e+00 -1.5477e+00 -4.0867e+00 +9.3472e-01 +2.7036e+00 +2.8684e+00 -4.6203e+00 +3.3952e-01 +2.8189e-01 +1.3078e+00 +4.0449e+00 +1.9142e+00 +4.0540e-01 +1.0522e-01 +3.6406e+00 +2.2398e-01 -1.5418e+00 +4.7707e+00 -4.8319e+00
3 +3.610874435e+03 +3.610874435e+03 +3.688534435e+03 +3.688534435e+03 +4.4062e+00 +4.0992e+00 +2.9630e+00 +4.7638e-01 +3.7498e+00 +2.2936e+00 -3.1879e+00 +1.6842e+00 +2.1544e+00 -4.9700e+00 -2.1944e+00 +8.8270e-01 -4.2490e+00 -1.3686e+00 -4.8153e+00 -1.0983e+00 -4.8960e+00 -2.2755e+00 -3.9448e+00 +1.7164e+00
6 +1.843114362e+03 +1.843114362e+03 +1.920774362e+03 +1.920774362e+03 -3.4494e+00 +3.8560e+00 +1.3039e+00 -5.6980e-02 -3.5422e+00 -6.8062e-02 -1.5805e+00 +4.1983e+00 +1.0795e+00 +1.7835e+00 +1.8188e+00 -2.1751e+00 -4.6363e+00 -1.5181e+00 -1.2906e+00 -1.2575e+00 -3.1891e+00 -3.4925e+00 +3.3709e+00 +3.0999e+00
10 +1.168378734e+03 +1.168378734e+03 +1.246038734e+03 +1.246038734e+03 +3.9452e+00 -1.1991e+00 +1.7867e-01 +1.4076e+00 -5.7698e-01 -4.6264e+00 +1.5888e+00 +4.7459e+00 -3.1470e-01 -1.5207e+00 +2.4488e+00 -4.4812e+00 -2.5391e+00 -3.6672e-01 +2.6920e+00 +3.5996e+00 -2.2695e+00 -3.3074e+00 -1.8566e+00 -4.8999e+00
28 +8.876025121e+02 +8.876025121e+02 +9.652625121e+02 +9.652625121e+02 +2.4377e-01 +2.6230e+00 -3.0361e+00 -4.4984e+00 +1.7055e+00 -4.6523e+00 -9.0886e-01 -4.2852e+00 -3.7556e+00 -4.4641e+00 +4.8829e-01 +4.6473e+00 -8.7608e-01 +5.6669e-01 +2.4849e-01 +1.1336e+00 -8.8627e-01 -2.9282e+00 +1.3796e+00 +1.1525e+00
239 +5.930901740e+02 +5.930901740e+02 +6.707501740e+02 +6.707501740e+02 +0.0000e+00 +9.1986e-02 -1.0427e+00 +6.3925e-01 +0.0000e+00 -4.7987e+00 +4.9924e-01 +1.1723e+00 -3.2314e+00 +1.8121e-01 +3.1442e+00 +2.4454e+00 -5.3942e-01 -9.3449e-01 +0.0000e+00 -2.3852e-01 -3.1254e+00 -3.8627e+00 +1.1592e+00 -2.1633e+00
852 +3.258789525e+02 +3.258789525e+02 +4.035389525e+02 +4.035389525e+02 -9.2814e-02 -5.0114e-01 +2.2433e-01 -9.7644e-01 +1.0925e+00 -4.7653e+00 -1.4928e+00 +2.6166e+00 -2.3531e+00 -3.7951e+00 +1.9603e+00 -3.3258e-01 -1.4902e+00 -3.2454e+00 +9.4896e-01 +1.6359e+00 -3.2540e-01 -3.8138e+00 +2.0994e+00 -4.0584e+00
2161 +2.351396577e+02 +2.351396577e+02 +3.127996577e+02 +3.127996577e+02 +1.3690e+00 +8.8954e-02 -1.4864e+00 +9.8976e-01 +9.2821e-01 -4.9727e+00 -1.1690e+00 +6.7778e-01 -2.3356e+00 -2.9845e+00 +2.4655e+00 -5.9775e-01 -9.3026e-01 -3.2979e+00 +2.8532e+00 +1.7224e+00 -6.6806e-02 -2.7765e+00 +1.6976e+00 -2.8293e+00
3747 +1.557396768e+02 +1.557396768e+02 +2.333996768e+02 +2.333996768e+02 +7.1370e-01 -4.8744e-02 -2.2683e+00 +1.9367e+00 +1.0514e+00 -4.9992e+00 -1.7851e-01 +1.2035e+00 -9.6397e-01 -3.3485e+00 +1.8680e+00 +1.2325e-01 -5.9358e-01 -2.5474e+00 +1.9455e+00 +9.5661e-01 -5.2574e-01 -3.1443e+00 +2.0407e+00 -2.5001e+00
