% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.217987118e+03 +1.217987118e+03 +2.217987118e+03 +2.217987118e+03 +1.7519e+00 +1.2255e+00 -7.9132e-01 +3.9247e+00 +4.4865e+00 -1.5278e+00 +3.4810e+00 -4.7753e+00 +2.6712e+00 +3.6226e+00 +3.4688e+00 -7.8079e-01 -3.0051e+00 -4.9772e+00 -3.2499e+00 +4.1945e+00 +4.3170e+00 +3.5247e+00 -1.5044e+00 +1.9478e-01
25 +6.761099909e+02 +6.761099909e+02 +1.676109991e+03 +1.676109991e+03 -8.8550e-01 +4.6537e+00 +4.3925e+00 +3.8917e+00 +3.6296e+00 +1.9339e+00 -1.3243e+00 -1.3087e-01 +2.8447e+00 -1.6429e+00 +1.4617e+00 +1.0683e+00 +2.1252e+00 -1.1447e+00 +4.5208e+00 -2.9129e+00 +3.4668e+00 -5.5490e-01 -2.6912e+00 -4.3874e+00
41 +5.780824630e+02 +5.780824630e+02 +1.578082463e+03 +1.578082463e+03 -3.2481e+00 +5.0000e+00 +4.2087e+00 +1.2084e+00 +4.1092e+00 +2.5809e+00 -3.8984e-01 +2.2473e-01 +1.6220e+00 -1.3774e+00 -1.5312e+00 +1.5170e+00 +1.5524e+00 -5.0000e+00 +1.7501e+00 +1.6307e+00 +2.8108e+00 -1.4753e+00 -1.1248e+00 -3.7339e+00
202 +3.779133118e+02 +3.779133118e+02 +1.377913312e+03 +1.377913312e+03 +1.5315e+00 +5.0000e+00 +5.0000e+00 +4.6739e+00 +4.9444e+00 -1.7129e+00 -1.2365e+00 +3.2664e-01 -5.0000e+00 -2.2264e+00 -4.6683e+00 -1.1491e+00 +3.4649e+00 -4.5026e+00 +5.0000e+00 +7.6339e-01 +4.9123e+00 -1.7891e+00 +1.2613e+00 -3.0339e+00
1373 +2.477492325e+02 +2.477492325e+02 +1.247749232e+03 +1.247749232e+03 -2.9019e+00 +4.0285e+00 +4.9170e+00 +5.0000e+00 +4.7257e+00 -2.2316e+00 -1.9438e+00 +1.3515e+00 -1.2460e+00 -3.6102e-01 -2.6292e+00 -1.8937e+00 -7.3816e-01 -3.9381e+00 +5.0000e+00 +4.0294e+00 +4.8331e+00 -8.7719e-01 -4.3271e-01 -4.1193e+00
2841 +1.542870427e+02 +1.542870427e+02 +1.154287043e+03 +1.154287043e+03 -2.8798e+00 +4.1380e+00 +4.7435e+00 +4.6001e+00 +2.6836e+00 -2.4818e+00 -7.2302e-01 -1.8053e+00 -2.0806e+00 -1.7570e+00 +0.0000e+00 -2.5228e+00 +2.7040e-01 -3.5731e+00 +2.6132e+00 +3.8766e+00 +3.4513e+00 -4.5675e-02 -1.2311e+00 -1.9607e+00
3982 +9.981364256e+01 +9.981364256e+01 +1.099813643e+03 +1.099813643e+03 -2.8677e+00 +4.0380e+00 +4.7520e+00 +4.6072e+00 +2.6941e+00 -2.3720e+00 -9.0337e-01 -1.7501e+00 -2.1054e+00 -1.7554e+00 +0.0000e+00 -2.4028e+00 +2.7255e-01 -3.7721e+00 +2.7295e+00 +3.7113e+00 +3.3728e+00 -4.1864e-02 -1.1916e+00 -1.7611e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.359333169e+03 +2.359333169e+03 +2.429363169e+03 +2.429363169e+03 +2.2008e+00 +4.0852e+00 +2.3303e+00 +3.6302e+00 +4.0995e+00 -2.8458e+00 -3.7115e+00 -1.6751e+00 +3.4675e+00 +4.8350e+00 +4.4710e+00 +1.3789e+00 -9.4528e-02 -1.3078e-01 -1.9820e+00 +4.4740e-01 -2.8121e+00 -3.8654e+00 +5.6290e-01 +3.4337e+00
3 +1.467705985e+03 +1.467705985e+03 +1.537735985e+03 +1.537735985e+03 -4.7036e+00 +1.7473e+00 +3.9974e+00 +1.7979e+00 -3.4539e+00 -2.9143e+00 -4.3738e+00 +1.5497e+00 +6.8439e-01 +4.5585e+00 +3.4602e+00 -3.6993e+00 -2.6175e+00 +1.6137e+00 +5.5270e-01 -4.3557e+00 +1.3201e+00 +2.4210e+00 -3.0364e+00 -2.6226e+00
18 +6.855109598e+02 +6.855109598e+02 +7.555409598e+02 +7.555409598e+02 -3.1375e+00 +2.5153e+00 -4.0416e+00 +1.8431e+00 +3.0652e+00 -4.3916e+00 +1.7051e+00 -7.8734e-01 -2.3821e+00 +9.9350e-01 +1.4140e+00 +2.5005e+00 +2.5155e+00 -4.3698e+00 -2.2701e+00 -4.0315e-01 +1.7033e+00 -1.5998e+00 -3.2865e+00 -2.1872e-01
126 +6.086268996e+02 +6.086268996e+02 +6.786568996e+02 +6.786568996e+02 -4.7497e+00 +9.8397e-01 -3.8426e+00 +2.5415e+00 +2.9479e+00 -3.8937e+00 +2.2579e+00 -2.6467e-01 -5.3135e-01 +1.7390e+00 +0.0000e+00 +1.5396e+00 +2.2068e+00 -4.1955e+00 -8.0658e-01 +4.1153e-01 +0.0000e+00 -6.9055e-01 -5.9054e-01 -9.7208e-01
300 +3.145813605e+02 +3.145813605e+02 +3.846113605e+02 +3.846113605e+02 +4.3271e-01 -2.7182e-01 -9.1025e-01 +2.1384e-01 -6.6177e-01 -3.5851e+00 -1.1777e-02 +0.0000e+00 -3.2410e+00 -2.0394e+00 -2.6465e+00 +1.6764e-01 +1.9048e+00 +0.0000e+00 -1.7846e+00 -3.1980e+00 +1.0069e+00 +3.5988e+00 -3.5972e+00 -6.5688e-01
1219 +2.505206048e+02 +2.505206048e+02 +3.205506048e+02 +3.205506048e+02 -1.5111e+00 -1.6125e+00 -2.3859e+00 -8.7545e-01 -1.3252e+00 -5.0000e+00 -9.8915e-01 +1.5010e+00 -2.4182e+00 +1.2905e+00 -5.5110e-01 -7.8902e-01 +1.6944e+00 -1.4176e+00 -1.6987e+00 -2.0950e+00 +6.9454e-01 +2.6424e+00 -4.7017e+00 -2.9968e-02
3299 +1.489748391e+02 +1.489748391e+02 +2.190048391e+02 +2.190048391e+02 +0.0000e+00 -1.0708e+00 -1.7685e+00 -2.1844e+00 -1.0450e+00 -4.8889e+00 -5.4794e-01 +1.2268e+00 -1.9484e+00 +4.9036e-01 -2.1837e+00 -1.4245e+00 +4.2510e+00 -1.2976e+00 -2.7063e+00 -1.5364e+00 +3.9553e-01 +3.1119e+00 -3.4520e+00 +2.5957e-01
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.044564272e+03 +3.044564272e+03 +2.996344272e+03 +2.996344272e+03 +8.7897e-01 -2.5664e+00 +2.2370e+00 +1.0463e+00 +3.5376e+00 +2.6910e+00 -1.6813e+00 -3.3854e+00 -2.7143e+00 -2.6107e+00 -4.0023e+00 +4.5451e+00 +4.3407e+00 -5.5220e-01 -2.5733e+00 +3.0143e+00 +3.6280e-01 -4.3742e+00 +2.4083e+00 +3.5104e+00
4 +1.063311888e+03 +1.063311888e+03 +1.015091888e+03 +1.015091888e+03 -2.5323e+00 -2.1285e+00 +2.4968e+00 -2.6664e+00 -2.4830e+00 +2.2556e-01 +1.4880e+00 -1.7360e+00 -3.5310e+00 +4.7587e+00 -4.9020e+00 +1.0556e+00 +1.8311e+00 +4.5789e+00 +1.8637e+00 +1.0779e+00 +1.1407e+00 -6.7732e-01 -9.1019e-01 +2.4397e+00
7 +9.423117576e+02 +9.423117576e+02 +8.940917576e+02 +8.940917576e+02 +6.7818e-01 -3.4512e+00 +7.2487e-01 +4.8742e+00 -3.0177e+00 +7.9747e-01 -7.9951e-01 -1.3485e+00 -4.3974e+00 +3.6336e+00 -4.5200e+00 -2.9792e+00 +2.2680e+00 -2.9653e+00 +1.8441e+00 -6.4388e-01 +6.8137e-01 +8.8384e-02 -1.1552e-01 -3.9547e+00
46 +5.886370757e+02 +5.886370757e+02 +5.404170757e+02 +5.404170757e+02 -5.0000e+00 -5.0000e+00 -2.6141e+00 -3.2642e-01 -3.2436e-01 +3.8235e+00 -5.0000e+00 -1.1417e+00 -8.4571e-01 +5.0000e+00 -2.1471e+00 -1.6031e+00 +4.7865e-01 +1.3804e+00 +2.2343e-01 -2.9434e+00 -7.6695e-01 -4.9757e+00 +5.3642e-01 +1.5038e+00
