% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.844530964e+07 +1.844530964e+07 +1.844509976e+07 +1.844509976e+07 -2.7756e+00 +1.6190e+00 +4.2413e-01 -5.3148e-01 +1.3622e+00 -7.4636e-01 +3.9439e+00 -2.3675e+00 -1.4023e+00 +9.7323e-01 +4.8109e+00 -1.4303e+00 +4.1185e+00 +3.7075e-02 -2.8843e+00 +9.6444e-01 +5.6502e-01 -3.5126e+00 -9.7190e-04 +3.8707e+00
2 +1.528702495e+07 +1.528702495e+07 +1.528681507e+07 +1.528681507e+07 -2.6988e-01 -7.8312e-01 +2.8135e+00 +3.5698e+00 -4.9286e+00 -4.3878e+00 -1.0008e+00 -4.2833e+00 -2.8673e+00 -1.2189e+00 -6.2675e-01 -1.7107e+00 -1.0275e+00 -2.9296e+00 +4.1706e+00 +2.2328e+00 +4.7694e+00 -8.5222e-01 -3.8911e+00 +1.7099e+00
3 +5.808083278e+06 +5.808083278e+06 +5.807873398e+06 +5.807873398e+06 +2.1994e+00 -3.8012e+00 -8.4943e-01 -2.3615e+00 -1.5310e+00 -2.1178e-01 +1.5998e+00 -4.7703e+00 -4.5470e+00 -2.5904e-01 -3.3488e+00 -2.3155e+00 -3.1683e+00 +6.4074e-01 -2.4558e+00 +3.4835e+00 -6.2364e-01 +1.8532e+00 -7.8690e-01 +1.7375e+00
46 +2.121527420e+06 +2.121527420e+06 +2.121317540e+06 +2.121317540e+06 -4.0943e+00 -4.0547e+00 +3.4463e+00 -3.7197e+00 +3.1220e+00 +3.0406e+00 +1.0603e+00 -6.1746e-01 -4.9102e+00 +3.9238e+00 +5.0000e+00 +1.0133e+00 -1.2740e+00 -2.7322e+00 +4.5980e-01 -4.7215e+00 -5.2411e-01 +1.1654e+00 -2.0954e+00 +1.7753e+00
134 +1.388447818e+06 +1.388447818e+06 +1.388237938e+06 +1.388237938e+06 +2.1288e+00 -1.9076e+00 -1.5652e+00 -2.4371e+00 +2.9129e+00 +0.0000e+00 -4.4097e+00 +2.2079e+00 +0.0000e+00 +3.6065e+00 +1.8754e+00 -1.4788e+00 +4.1828e+00 -4.8926e-01 +3.7471e+00 -3.1419e+00 -3.3880e+00 +4.3878e+00 -1.9617e+00 +1.6788e+00
346 +6.091634854e+05 +6.091634854e+05 +6.089536054e+05 +6.089536054e+05 +1.3381e+00 +0.0000e+00 +8.9819e-01 -2.0431e+00 +1.1541e+00 +2.3388e+00 -3.9038e+00 -4.6635e-01 -7.3343e-01 +4.7278e+00 -2.3978e+00 +1.0967e+00 +3.9821e-01 -3.7788e+00 +1.5921e+00 -2.6325e+00 -2.1517e+00 +2.9676e+00 -2.1328e+00 +1.9270e+00
1054 +1.759449178e+05 +1.759449178e+05 +1.757350378e+05 +1.757350378e+05 -2.5056e+00 -2.8751e+00 +0.0000e+00 -5.0000e+00 +3.5772e+00 +2.6470e+00 -1.8443e+00 +3.5993e+00 -1.5905e+00 +3.8365e+00 -4.3664e-01 +0.0000e+00 +5.0000e+00 +0.0000e+00 -7.0141e-01 -4.4763e+00 -3.6313e+00 +2.5800e+00 -2.3503e+00 +1.9460e+00
1198 +1.504612959e+05 +1.504612959e+05 +1.502514159e+05 +1.502514159e+05 -3.8248e+00 -3.2275e+00 +7.1743e-01 -5.0000e+00 +4.0160e+00 +2.0851e+00 +5.3908e-01 +4.1852e+00 -1.8554e+00 +3.5564e+00 +6.2820e-01 -5.5625e-01 +5.0000e+00 -2.8673e+00 -1.1332e+00 -4.7287e+00 -3.6557e+00 +3.1880e+00 -2.4599e+00 +1.9013e+00
1409 +8.582251217e+04 +8.582251217e+04 +8.561263217e+04 +8.561263217e+04 +2.6700e+00 -5.0000e+00 +5.0000e+00 -5.0000e+00 +2.5592e+00 +1.9901e+00 +3.3077e-01 +2.4841e+00 -1.5839e+00 +3.5892e+00 +2.1754e+00 +5.3895e-01 +4.9690e+00 -2.1600e+00 -9.5288e-01 -4.3808e+00 -2.6688e+00 +3.1668e+00 -2.4138e+00 +1.7922e+00
1731 +5.214052617e+04 +5.214052617e+04 +5.193064617e+04 +5.193064617e+04 +1.6682e+00 -1.4242e+00 +5.0000e+00 -5.0000e+00 +1.2671e+00 -4.0425e-01 +1.1910e+00 +4.6751e+00 -3.8765e+00 +4.5068e+00 -1.4072e+00 +2.6396e+00 +5.0000e+00 -6.1528e-01 -2.0504e+00 -3.3603e+00 -2.9205e+00 +3.1199e+00 -2.3767e+00 +1.9029e+00
